wt_1,lak_1,wt_2,lak_2,wt_3,lak_3
Dr.23632.1.A1_at,3.63145498,3.461888372,3.684138937,3.578144492,3.72059099,3.5706248
Dr.26407.1.S1_at,4.833141652,6.347545665,4.881640775,5.826446563,5.796978721,6.32823948
Dr.26403.2.S1_at,9.048415139,9.561689399,8.773241229,9.6603583,7.870296538,9.148799204
Dr.5386.1.A1_at,8.947597749,9.377934468,9.282612619,9.535316183,9.378765751,9.637143003
Dr.17215.1.A1_at,7.782676915,7.396191786,7.483762977,7.122126196,7.790008646,7.56974692
Dr.24323.1.S1_at,8.365055218,8.00189198,8.952383769,8.479317466,8.522182418,8.173451951
Dr.21765.1.A1_at,12.28329865,12.13865202,12.53696721,12.15694846,12.28743789,11.95485791
Dr.18144.1.A1_a_at,8.559197114,9.291070197,9.186315982,9.622886415,8.902304598,9.232584023
Dr.17846.1.A1_at,6.824023047,8.276771392,7.363395944,7.851335846,6.497625567,7.455224339
Dr.20198.2.S1_x_at,6.418080134,5.738310415,6.881405147,5.327732127,8.125506486,6.264061724
Dr.16718.1.S1_at,6.197335997,5.92455759,6.79323765,6.196154969,6.852039674,6.146379956
Dr.25592.1.A1_at,13.6877694,13.8932501,13.68830551,13.88518927,13.80660518,13.89413461
Dr.19880.1.S1_at,6.542594015,6.056647286,6.252343717,6.041693683,6.462412301,6.221385664
Dr.16957.1.A1_at,7.317192748,7.785784561,7.330015546,8.617138013,7.891616338,8.756224182
AFFX-Dr-acta1-5_x_at,4.274706024,4.469571763,4.042998919,4.396302537,4.119178741,4.284055273
Dr.2330.1.A1_at,6.864656294,6.145161546,6.371124641,5.341440946,5.820379165,5.264885967
Dr.5766.1.S1_at,5.500822356,6.076071943,5.233724648,5.934767397,4.394589426,5.768856892
Dr.7117.2.S1_at,10.74718538,11.62590393,11.21146453,11.52416234,10.36994677,11.18874155
Dr.3408.1.A1_at,8.210363424,7.857592911,8.7453134,7.86327225,7.981701334,7.311876407
Dr.2359.1.S1_at,10.78075469,11.04114296,10.33969027,11.21795388,10.61412864,11.12527261
Dr.26527.1.S1_at,4.79455875,5.423645751,4.399648354,5.180920159,3.721791338,5.381813764
Dr.26037.1.A1_at,9.430943234,8.93292848,9.384625875,8.824859819,8.775197063,8.450490444
Dr.10389.1.A1_at,6.288253775,4.807521936,6.15283374,5.101124525,4.627652571,3.620324656
Dr.16167.1.A1_at,7.226778966,7.025665375,7.245096879,6.705676928,7.465227293,6.704549665
AFFX-CreX-5_at,12.8943962,12.57771405,13.35799794,12.91143992,12.98805841,12.75097415
Dr.25287.1.A1_at,7.998300377,7.308673506,7.879598601,7.290030412,7.90379766,7.718194328
Dr.7724.1.A1_at,11.66257925,11.94702783,11.78309284,12.01560953,12.02215667,12.32208634
Dr.2332.1.S1_at,8.806389719,9.574571846,8.001431136,9.473960371,9.160029424,9.721822618
Dr.18001.1.S1_at,2.570763542,2.892883545,2.669264492,2.850987365,2.814248252,3.236855635
Dr.16653.1.A1_at,4.668312972,4.395514163,4.980027061,4.776583344,4.830828789,4.492468335
Dr.2563.1.A1_at,8.062113065,7.625344349,8.414588366,7.958195689,8.305846536,7.274023614
Dr.3237.1.A1_at,11.4613121,11.24924525,11.29577109,11.01356443,11.71432135,11.28063691
Dr.6382.1.A1_at,8.461865651,8.824954002,8.273564958,8.549647025,8.704789896,8.987815886
Dr.5923.1.S1_at,5.455892859,4.24165492,5.724755302,4.901829847,6.761275963,5.806898871
Dr.25387.1.A1_at,6.234900381,5.652666794,5.610247074,5.074050539,6.309328068,5.044400027
